edge_gpu,rtt_ms,bw_mbps,k_passages,ttft_p0_ms,ttft_p1_ms,ttft_p2_ms,ttft_p2_sphp_ms,ttft_p3_ms,sphp_speedup_pct,optimal_topology
False,200,100,10,8983.9,1033.9,9083.9,8794.5,9084.9,3.2,P1
False,200,100,20,9465.7,1515.7,9565.7,8986.1,9567.6,6.1,P1
False,200,500,1,8550.3,600.3,8650.3,8622.0,8650.3,0.3,P1
False,200,500,5,8743.0,793.0,8843.0,8698.7,8843.1,1.6,P1
False,200,500,10,8983.9,1033.9,9083.9,8794.5,9084.1,3.2,P1
False,200,500,20,9465.7,1515.7,9565.7,8986.1,9566.1,6.1,P1
False,200,1000,1,8550.3,600.3,8650.3,8622.0,8650.3,0.3,P1
False,200,1000,5,8743.0,793.0,8843.0,8698.7,8843.1,1.6,P1
False,200,1000,10,8983.9,1033.9,9083.9,8794.5,9084.0,3.2,P1
False,200,1000,20,9465.7,1515.7,9565.7,8986.1,9565.9,6.1,P1
